Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum,HomicideClr_sum,RobberyClr_sum,AggAssaultClr_sum,BurglaryClr_sum,VehicleTheftClr_sum,LTtotalClr_sum,FROBact_sum,KROBact_sum,OROBact_sum,SROBact_sum,CHROBnao_sum,GROBnao_sum,CROBnao_sum,RROBnao_sum,BROBnao_sum,MROBnao_sum,FEBURact_Sum,UBURact_sum,RESDBUR_sum,NRESBUR_sum,PPLARnao_sum,PSLARnao_sum,SLLARnao_sum,BILARnao_sum,FBLARnao_sum,COMLARnao_sum,AOLARnao_sum,LT400nao_sum,LT200400nao_sum,LT50200nao_sum,LT50nao_sum
2014,Riverside County,Indio,8,120,313,549,1197,7,33,134,91,46,143,33,21,5,61,2,7,12,17,8,51,321,228,285,264,8,5,157,31,226,1,328,631,177,201,188
2014,Riverside County,Norco,0,20,24,154,409,0,6,17,36,5,34,2,2,8,8,9,2,0,2,0,2,76,78,50,104,4,1,26,3,90,2,108,138,57,60,154
2014,Riverside County,Palm Springs,3,97,167,795,1719,0,23,68,35,27,186,29,13,8,47,7,1,3,9,2,11,497,298,518,277,6,6,175,182,361,0,328,819,285,269,346
2014,Riverside County,Perris,0,68,111,407,980,0,23,56,68,31,128,13,9,27,19,21,3,6,8,0,12,224,183,242,165,3,6,146,19,208,0,211,258,146,235,341
2014,Riverside County,Riverside,12,441,788,1531,6794,11,124,330,110,96,1402,93,57,36,255,148,8,14,46,2,104,1187,344,955,576,9,4,1899,265,453,6,1766,1956,1073,1385,2380
2014,Riverside County,San Jacinto,2,45,52,478,1121,0,14,20,84,11,234,9,5,12,19,11,2,1,7,0,3,261,217,272,206,1,2,251,34,275,1,230,249,159,337,376
2014,Riverside County,Corona,0,68,78,541,2389,1,27,58,96,35,419,22,15,4,27,15,4,5,1,0,27,433,108,347,194,3,3,473,91,221,11,466,888,341,521,639
2014,Riverside County,Indian Wells,1,0,5,40,78,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,20,20,26,14,0,0,3,0,31,0,22,49,6,9,14
2014,Riverside County,Rancho Mirage,0,2,25,165,475,0,1,10,6,0,15,1,0,1,0,1,0,0,1,0,0,92,73,103,62,2,1,7,12,137,2,163,264,64,73,74
2014,Riverside County,Palm Desert,1,40,94,560,1524,1,9,42,121,10,200,6,1,30,3,11,1,4,6,1,6,217,343,230,330,7,6,205,74,350,2,486,636,210,339,339
2014,Riverside County,Union Pacific RR - Riverside,0,0,2,8,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,0,0,0,0,0,0,18,17,2,3,10
2014,Riverside County,Inland Empire DPR,0,0,1,8,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,2,0,0,0,1,0,0,0,2,0,0,0
2014,Riverside County,Cathedral City,1,49,67,386,491,1,10,29,36,14,23,26,4,2,17,1,3,2,8,2,29,214,172,250,136,1,2,12,26,66,1,94,254,73,73,91
2014,Riverside County,Lake Elsinore,1,52,69,405,1031,1,15,44,67,12,48,5,1,45,1,16,1,9,10,0,9,187,218,223,182,3,4,113,21,270,0,242,304,141,214,372
2014,Riverside County,La Quinta,1,33,51,314,954,1,14,32,95,4,181,8,1,22,2,5,4,5,6,0,4,110,204,138,176,3,3,173,29,211,2,267,351,102,220,281
2014,Riverside County,Moreno Valley,11,257,296,1638,3742,4,75,127,268,55,395,41,7,135,74,67,5,25,42,3,30,995,643,1009,629,11,20,500,76,702,0,812,1113,579,883,1167
2014,Riverside County,Temecula,2,54,37,656,1668,3,23,20,109,14,356,11,6,29,8,12,3,2,7,5,10,278,378,252,404,7,5,242,35,409,0,281,555,273,407,433
2014,Riverside County,Calimesa,0,2,15,94,145,0,0,6,7,2,3,1,0,1,0,0,0,0,0,0,0,58,36,36,58,2,0,6,7,27,0,47,44,23,25,53
2014,Riverside County,Canyon Lake,0,3,10,18,91,0,2,4,1,2,0,0,0,3,0,1,0,0,2,0,0,9,9,14,4,0,0,0,3,19,0,30,40,11,21,19
2014,Riverside County,Murrieta,1,20,41,262,1009,1,9,36,45,11,189,6,1,0,13,0,0,1,3,3,11,99,163,137,125,2,5,246,16,127,2,199,354,179,249,227
2014,Riverside County,Riverside Community College,0,1,2,7,108,0,1,2,3,4,60,0,0,0,1,0,0,0,0,0,1,1,6,0,7,1,0,2,16,55,2,18,40,22,28,18
2014,Riverside County,Wildomar,0,5,30,132,323,0,2,18,9,4,5,0,0,5,0,2,1,0,0,0,0,76,56,97,35,0,0,15,3,45,1,100,123,37,73,90
2014,Riverside County,Menifee,2,31,73,339,888,2,10,34,50,21,83,3,8,9,11,11,1,0,5,2,4,183,156,213,126,2,3,84,18,157,1,245,327,138,188,235
2014,Riverside County,Eastvale,0,17,38,206,603,0,6,20,69,6,43,3,1,8,5,8,1,1,3,0,0,83,123,98,108,2,3,53,24,71,0,179,258,79,106,160
2014,Riverside County,UC Riverside,0,2,2,19,258,0,0,0,3,0,16,0,0,0,2,0,0,0,0,0,1,8,11,4,15,0,0,2,125,58,1,35,76,73,81,28
2014,Riverside County,CA Highway Patrol - Riverside,0,1,12,6,24,0,1,11,1,0,3,0,0,0,1,0,0,0,0,0,0,4,2,0,6,0,2,0,0,1,0,1,8,1,10,5
2014,Riverside County,Jurupa Valley,4,84,189,445,1469,1,16,88,60,24,40,27,12,29,16,20,7,11,13,1,6,279,166,185,260,17,0,205,29,269,1,387,540,147,243,539
2001,Sacramento County,UC Med Center Sacramento,0,2,1,7,158,0,0,1,1,2,2,0,0,0,2,0,0,0,0,0,0,0,7,0,7,0,0,2,9,69,0,2,38,54,35,31
2002,Sacramento County,UC Med Center Sacramento,0,0,1,13,181,0,0,1,2,3,8,0,0,0,0,0,0,0,0,0,0,1,12,0,13,0,1,2,9,96,0,4,50,34,49,48
2003,Sacramento County,UC Med Center Sacramento,0,3,7,25,176,0,0,1,3,0,4,0,0,0,3,1,0,0,0,0,1,5,20,0,25,0,0,0,10,103,0,3,50,32,51,43
2004,Sacramento County,UC Med Center Sacramento,0,3,1,22,150,0,1,0,7,1,6,0,0,0,3,0,0,0,0,0,1,6,16,0,22,0,0,0,15,71,0,2,42,27,41,40
2005,Sacramento County,UC Med Center Sacramento,0,0,3,15,180,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,5,10,0,15,0,0,0,17,68,2,5,59,34,46,41
2006,Sacramento County,UC Med Center Sacramento,0,0,2,13,132,0,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,5,8,0,13,0,0,0,7,69,0,7,38,30,28,36
2007,Sacramento County,UC Med Center Sacramento,0,1,5,21,157,0,0,3,4,1,4,1,0,0,0,0,0,0,0,0,0,15,6,0,21,0,2,2,17,71,0,11,55,23,44,35
2008,Sacramento County,UC Med Center Sacramento,0,1,4,21,161,0,0,2,4,2,6,0,0,0,1,0,0,0,0,0,0,8,13,0,21,0,0,0,21,80,0,11,53,55,29,24
2009,Sacramento County,UC Med Center Sacramento,0,3,1,24,145,0,1,1,8,0,9,0,0,2,1,0,0,0,0,0,2,10,14,1,23,0,0,0,22,59,4,3,39,32,35,39
2010,Sacramento County,UC Med Center Sacramento,0,1,3,15,119,0,1,2,5,0,6,0,0,0,1,0,0,0,0,0,0,7,8,0,15,0,0,2,26,61,0,6,37,26,26,30
2011,Sacramento County,UC Med Center Sacramento,0,1,3,12,142,0,0,3,4,1,7,0,0,0,1,0,0,0,0,0,0,2,10,0,12,0,0,2,30,62,0,9,39,39,38,26
2012,Sacramento County,UC Med Center Sacramento,0,2,4,13,128,0,1,2,3,1,10,0,0,0,2,0,0,0,0,0,1,0,13,0,13,0,0,4,33,49,0,6,32,28,41,27
2013,Sacramento County,UC Med Center Sacramento,0,0,1,5,174,0,0,1,1,0,24,0,0,0,0,0,0,0,0,0,0,1,4,0,5,1,0,24,31,60,0,19,56,40,33,45
2014,Sacramento County,UC Med Center Sacramento,0,2,3,18,151,0,0,3,4,1,24,0,0,0,2,0,0,0,0,0,0,6,12,0,18,1,1,23,16,53,1,14,45,27,34,45
2015,Sacramento County,UC Med Center Sacramento,0,0,22,16,180,0,0,2,5,0,27,0,0,0,0,0,0,0,0,0,0,4,12,1,15,0,0,23,40,59,0,20,48,34,49,49
1997,Sacramento County,Union Pacific RR - Sacramento,0,0,9,13,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0,14,11,2,3,1
1998,Sacramento County,Union Pacific RR - Sacramento,0,0,8,16,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,4,2,0,4,0
2014,San Benito County,San Benito Co. Sheriff's Department,1,5,50,81,126,0,1,20,7,3,4,1,2,1,1,0,1,0,2,0,1,52,29,56,25,2,0,1,2,7,1,70,73,13,12,28
2014,San Benito County,Hollister,3,19,101,191,246,1,15,82,76,6,90,2,3,2,12,4,0,2,1,0,8,82,109,93,98,4,3,80,13,23,0,36,68,39,62,77
2014,San Benito County,Union Pacific RR - San Benito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,San Benito County,Hollister Hills DPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,San Benito County,CA Highway Patrol - San Benito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,San Bernardino County,San Bernardino Co. Sheriff's Department,18,154,735,1778,2311,15,64,543,266,131,271,31,18,7,98,11,7,21,44,1,49,1288,490,1339,439,4,10,112,37,513,1,709,1110,304,328,569
2014,San Bernardino County,Barstow,1,52,153,328,307,1,28,118,51,117,94,11,3,2,36,16,3,3,11,1,2,256,72,207,121,4,0,104,2,24,2,44,108,34,54,111
2014,San Bernardino County,Chino,0,42,136,418,1121,1,13,104,110,7,175,14,7,1,20,6,0,5,2,4,21,362,56,147,271,0,1,169,28,78,1,369,465,180,252,224
2014,San Bernardino County,Colton,1,61,67,381,891,1,18,38,50,16,91,19,7,7,28,10,3,0,4,0,28,270,111,243,138,0,4,79,12,46,1,428,339,155,185,212
2014,San Bernardino County,Fontana,2,173,496,686,2191,1,58,314,77,44,506,60,10,21,82,37,6,21,10,0,99,466,220,456,230,9,9,534,19,108,1,468,783,213,259,936
2014,San Bernardino County,Montclair,3,72,112,249,969,1,29,77,22,9,304,17,7,9,39,16,2,13,9,0,11,217,32,133,116,2,0,391,23,58,0,144,319,169,278,203
2014,San Bernardino County,Needles,0,7,18,80,63,0,4,19,35,9,28,0,0,1,6,1,0,2,0,0,1,52,28,35,45,0,1,5,4,6,0,36,25,8,13,17
2014,San Bernardino County,Ontario,6,163,242,780,2987,3,64,155,107,40,605,41,27,21,74,45,9,9,14,1,85,484,296,429,351,3,10,663,90,255,2,516,1319,373,580,715
2014,San Bernardino County,Redlands,1,60,77,512,1965,2,32,67,153,26,286,14,6,13,27,5,3,6,7,1,20,288,224,289,223,4,2,279,80,94,2,842,192,116,162,1495
2014,San Bernardino County,Rialto,5,113,192,613,886,2,30,124,61,33,200,31,14,5,63,27,1,10,9,1,5,457,156,456,157,1,9,241,15,55,2,193,293,130,157,306
2014,San Bernardino County,San Bernardino,43,811,1170,2370,4405,31,315,842,511,192,1081,317,74,59,361,164,23,41,93,2,2,1805,565,1661,709,34,24,929,94,541,3,981,1777,792,987,849
