Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum
2018,Santa Barbara County,Goleta,0,10,28,75,233
2018,Santa Barbara County,UC Santa Barbara,0,4,8,19,297
2018,Santa Barbara County,CA Highway Patrol - Santa Barbara,0,0,2,5,49
2018,Santa Clara County,Santa Clara Co. Sheriff's Department,1,31,248,213,974
2018,Santa Clara County,Campbell,0,37,71,235,976
2018,Santa Clara County,Cupertino,0,14,40,183,720
2018,Santa Clara County,Gilroy,0,75,97,188,1040
2018,Santa Clara County,Los Altos,0,3,6,80,188
2018,Santa Clara County,Los Altos Hills,0,2,5,29,17
2018,Santa Clara County,Los Gatos,0,6,2,58,360
2018,Santa Clara County,Milpitas,0,45,31,243,1435
2018,Santa Clara County,Monte Sereno,0,0,0,8,8
2018,Santa Clara County,Morgan Hill,1,17,34,125,501
2018,Santa Clara County,Mountain View,0,59,85,276,1659
2018,Santa Clara County,Palo Alto,0,30,37,234,1197
2018,Santa Clara County,San Jose,28,1593,2208,4539,13510
2018,Santa Clara County,Santa Clara,1,74,100,429,2860
2018,Santa Clara County,Saratoga,0,6,9,97,127
2018,Santa Clara County,Sunnyvale,1,71,140,424,1764
2018,Santa Clara County,CSU San Jose,0,7,6,30,271
2018,Santa Clara County,San Jose Community College,0,0,1,13,45
2018,Santa Clara County,West Valley College District,0,1,1,11,17
2018,Santa Clara County,Foothill College,0,1,0,1,13
2018,Santa Clara County,Union Pacific RR - Santa Clara,0,0,0,0,4
2018,Santa Clara County,Santa Clara Transit District,0,39,36,0,86
2018,Santa Clara County,CA Highway Patrol - Santa Clara,0,0,3,0,19
2018,Santa Cruz County,Santa Cruz Co. Sheriff's Department,3,45,215,432,1354
2018,Santa Cruz County,Capitola,0,9,12,28,458
2018,Santa Cruz County,Santa Cruz,1,66,289,336,2308
2018,Santa Cruz County,Watsonville,1,50,174,196,785
2018,Santa Cruz County,Scotts Valley,0,2,9,42,137
2018,Santa Cruz County,Union Pacific RR - Santa Cruz,0,0,0,0,0
2018,San Luis Obispo County,San Luis Obispo Coast DPR,0,0,0,1,19
2018,Santa Cruz County,UC Santa Cruz,0,0,6,28,153
2018,Santa Cruz County,CA Highway Patrol - Santa Cruz,0,0,0,2,220
2018,Shasta County,Shasta Co. Sheriff's Department,10,19,404,477,446
2018,Shasta County,Anderson,1,12,45,89,201
2018,Shasta County,Redding,2,96,435,613,2281
2018,Shasta County,Union Pacific RR - Shasta,0,0,1,0,6
2018,Shasta County,Shasta Marshal's Office,0,0,0,1,0
2018,Shasta County,CA Highway Patrol - Shasta,0,0,1,2,86
2018,Sierra County,Sierra Co. Sheriff's Department,0,0,4,9,11
2018,Sierra County,Union Pacific RR - Sierra,0,0,0,0,0
2018,Sierra County,CA Highway Patrol - Sierra,0,0,0,0,0
2018,Siskiyou County,Siskiyou Co. Sheriff's Department,2,0,65,101,56
2018,Siskiyou County,Dorris,0,0,3,7,3
2018,Siskiyou County,Dunsmuir,1,0,7,9,12
2018,Siskiyou County,Etna,0,0,0,0,0
2018,Siskiyou County,Fort Jones,0,0,7,3,4
2018,Siskiyou County,Montague,0,1,10,16,8
2018,Siskiyou County,Mount Shasta,0,1,9,7,28
2018,Siskiyou County,Tulelake,0,0,0,1,3
2018,Siskiyou County,Weed,0,4,20,13,62
2018,Siskiyou County,Yreka,0,2,33,38,164
2018,Siskiyou County,Lake Shastina,0,0,1,0,5
2018,Siskiyou County,Union Pacific RR - Siskiyou,0,0,0,1,0
2018,Siskiyou County,CA Highway Patrol - Siskiyou,0,0,0,1,19
2018,Solano County,Solano Co. Sheriff's Department,2,14,120,153,140
2018,Solano County,Benicia,0,17,10,71,229
2018,Solano County,Dixon,1,14,35,35,278
2018,Solano County,Fairfield,4,176,329,404,2300
2018,Solano County,Rio Vista,0,2,17,32,63
2018,Solano County,Suisun,1,18,61,54,483
2018,Solano County,Vacaville,2,63,143,163,1804
2018,Solano County,Vallejo,8,349,482,2456,975
2018,Solano County,Union Pacific RR - Solano,0,0,0,0,0
2018,Solano County,CA Highway Patrol - Solano,0,0,3,0,13
2018,Sonoma County,Sonoma Co. Sheriff's Department,4,42,406,340,734
2018,Sonoma County,Cloverdale,0,4,9,22,106
2018,Sonoma County,Cotati,0,4,28,19,71
2018,Sonoma County,Healdsburg,0,4,15,30,174
2018,Sonoma County,Rohnert Park,0,22,160,112,549
2018,Sonoma County,Santa Rosa,3,147,524,547,2179
2018,Sonoma County,Sebastopol,1,5,7,71,84
2018,Sonoma County,Sonoma,0,5,35,23,133
2018,Sonoma County,Petaluma,0,27,139,153,668
2018,Sonoma County,CSU Sonoma,1,0,0,12,57
2018,Sonoma County,Union Pacific RR - Sonoma,0,0,0,0,0
2018,Santa Cruz County,Santa Cruz Mtns. DPR,0,1,3,0,94
2018,Placer County,Sierra DPR,0,0,0,1,32
2018,Sonoma County,Sonoma Developmental Center,0,0,1,0,0
2018,Sonoma County,Sonoma Co. Junior College,0,2,11,4,60
2018,Sonoma County,Windsor,0,6,61,42,190
